"study","cell_id","comparator","NPairs","MajorARI_MeanAdvantage","MajorARI_MCSE","MinorityDetectionF1_MeanAdvantage","MinorityDetectionF1_MCSE","MinorityClusterF1_MeanAdvantage","MinorityClusterF1_MCSE","AnyMicroDiscovery_MeanAdvantage","AnyMicroDiscovery_MCSE","AbsQError_MeanAdvantage","AbsQError_MCSE","SpuriousExtraClusters_MeanAdvantage","SpuriousExtraClusters_MCSE","end_to_end_seconds_MeanAdvantage","end_to_end_seconds_MCSE"
"stress",22,"HDBSCAN_full",300,0.90794645298986,0.00103232130362446,-0.619060108899213,0.0257374630725885,-0.619060108899213,0.0257374630725885,0.633333333333333,0.0301735350065258,-0.633333333333333,0.0301735350065258,0,0,-0.821910000000107,0.0410966073092409
"stress",23,"HDBSCAN_full",300,0.895561868598026,0.00140949965580139,-0.187143431916103,0.0134896674251909,-0.187143431916103,0.0134896674251909,0.513333333333333,0.028905463615555,-0.51,0.0289099628705617,0.103333333333333,0.0182258427850353,-0.364110000000031,0.000810764878275184
"stress",24,"HDBSCAN_full",300,0.799455432256515,0.00170508039412291,-0.365114073681106,0.027558948256976,-0.365114073681106,0.027558948256976,0.37,0.027921294063982,-0.333333333333333,0.0280679750355068,0.0366666666666667,0.0127564732804054,-0.396586666666629,0.00119499488842109
"stress",25,"HDBSCAN_full",300,0.809954797565565,0.000949567771393188,-0.160773669221074,0.0200859006587946,-0.160773669221074,0.0200859006587946,0.326666666666667,0.0271226346351226,-0.3,0.0265017195125853,0.176666666666667,0.0235236702505947,-0.373770000000053,0.000965371041938134
"stress",26,"HDBSCAN_full",300,0.879661823056485,0.00997687305427494,-0.0682537276517285,0.0184423269407761,-0.0682537276517286,0.0184423269407761,-0.0666666666666667,0.018490006540841,0.0666666666666667,0.018490006540841,0,0,-1.81077666666662,0.022317465211683
"stress",27,"HDBSCAN_full",300,0.868072294893856,0.00120985853832972,-0.0174979378331804,0.0209422348312205,-0.0174979378331804,0.0209422348312205,-0.176666666666667,0.0220561426807067,0.536666666666667,0.0296009631548583,0.36,0.0285510358821577,-2.10660666666661,0.0115547466136259
"stress",28,"HDBSCAN_full",300,0.797421330165411,0.0191717518058131,-0.0762761080192188,0.0232893207195051,-0.0762761080192188,0.0232893207195051,0,0.0240771706171538,0,0.0240771706171538,0,0,-1.36071333333339,0.0335038318490499
"stress",29,"HDBSCAN_full",300,0.787226245143123,0.0127607171713479,0.0692558099394727,0.0198668791367076,0.0692558099394727,0.0198668791367076,-0.136666666666667,0.0198648349735081,0.136666666666667,0.0198648349735081,0,0,-1.80650000000013,0.0246777999973543
"stress",30,"HDBSCAN_full",300,0.828275524033986,0.00844273285090921,0.0172115661112396,0.0166587959000892,0.0172115661112396,0.0166587959000892,-0.0766666666666667,0.016773348646692,0.0766666666666667,0.016773348646692,0,0,-1.80874333333322,0.0170667236827981
"stress",1,"Oracle_TCLUST",300,-0.0120077347856422,0.00613550038784427,-0.176818336916849,0.0106651719819423,-0.176818336916849,0.0106651719819423,0.0366666666666667,0.0108689706266209,-0.0366666666666667,0.0108689706266209,0.00333333333333333,0.00333333333333333,-1.48291333333333,0.0210432531540944
"stress",2,"Oracle_TCLUST",300,-0.0249025377863362,0.00923182982425833,-0.280757767203943,0.0196025816971864,-0.280757767203943,0.0196025816971864,0.196666666666667,0.0229867555940102,-0.196666666666667,0.0229867555940102,0,0,-0.789259999999998,0.0247898223532903
"stress",3,"Oracle_TCLUST",300,-0.0267932294393686,0.00803724135385886,-0.233749041616943,0.0151823657780731,-0.233749041616943,0.0151823657780731,0.1,0.0173494479589872,-0.1,0.0173494479589872,0,0,-1.02514333333334,0.0232592736534949
"stress",4,"Oracle_TCLUST",300,-0.00271350428666104,0.00308469392371922,-0.13428212691475,0.00563060049357222,-0.13428212691475,0.00563060049357222,0.00666666666666667,0.00470615558697011,-0.00666666666666667,0.00470615558697011,0,0,-3.28516,0.0221962314436711
"stress",5,"Oracle_TCLUST",300,0.00213651960720154,0.000330865954901269,-0.165782561906255,0.0108577180538529,-0.165782561906255,0.0108577180538529,0,0,-0.416666666666667,0.0393532817921355,-0.416666666666667,0.0393532817921355,-2.22089666666666,0.0116345187575035
"stress",6,"Oracle_TCLUST",300,-0.907982794469862,0.0042597148932086,-0.0251588122832843,0.00925301942130283,-0.0251588122832843,0.00925301942130283,0.0266666666666667,0.00931707454688573,-0.0266666666666667,0.00931707454688573,0,0,0.19400666666667,0.00183281127663721
"stress",7,"Oracle_TCLUST",300,-0.0115216583987876,0.00110580604598641,-0.691286653909687,0.00408026861432738,-0.691286653909687,0.00408026861432738,1,0,-1,0,0,0,0.864406666666681,0.00407037641710085
"stress",8,"Oracle_TCLUST",300,-0.00125093744888532,0.000312621790240188,-0.469479047331874,0.00423391017047555,-0.469479047331874,0.00423391017047555,1,0,-1,0,0.00666666666666667,0.00470615558697011,3.76401333333332,0.00827374050923409
